@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,4,5,11,14,29,2,3,5,0,-1,False,False,False,False,5,4,9,3,-16,East,East,-17
4,4,4,10,13,28,1,3,4,0,-1,False,False,False,False,5,4,8,4,-17,East,East,-18
4,4,3,9,12,27,0,3,3,0,-1,False,False,False,False,5,4,7,5,-18,East,East,-19
4,4,2,10,13,26,0,2,2,0,-1,False,False,False,False,4,5,2,3,-19,East,North,-20
4,4,1,11,14,25,0,1,1,0,-1,False,False,False,False,3,6,2,3,-20,North,North,179
4,3,-1,12,15,24,6,6,12,0,-1,False,False,False,False,2,7,2,3,179,North,North,178
4,3,-1,11,14,25,6,5,11,0,-1,False,False,False,False,3,6,2,3,178,North,South,177
4,3,-1,10,13,26,6,4,10,0,-1,False,False,False,False,4,5,2,3,177,South,South,176
4,3,-1,9,12,27,6,3,9,0,-1,False,False,False,False,5,4,7,5,176,South,South,175
4,3,-1,8,13,28,6,2,8,0,-1,False,False,True,False,6,3,1,5,175,South,South,174
4,3,-1,7,14,29,6,1,7,0,-1,False,False,True,False,7,2,1,5,174,South,South,173
4,3,-1,6,15,30,6,0,6,0,-1,False,True,False,False,8,1,7,5,173,South,South,172
4,3,-1,5,14,29,5,0,5,0,-1,True,True,False,False,1,1,6,6,172,South,East,171
4,3,-1,4,13,28,4,0,4,0,-1,True,True,False,False,1,1,5,7,171,East,East,170
4,3,-1,3,12,27,3,0,3,0,-1,False,True,False,False,14,1,4,8,170,East,East,169
4,3,-1,2,11,26,2,0,2,0,-1,False,True,False,False,14,1,3,9,169,East,East,168
4,3,-1,1,10,25,1,0,1,0,-1,False,True,False,False,14,1,2,10,168,East,East,367
4,2,-1,-1,9,24,6,3,9,0,-1,False,True,True,False,10,1,1,11,367,East,East,366
4,2,-1,-1,8,23,6,2,8,0,-1,False,False,True,False,9,2,1,4,366,East,North,365
4,2,-1,-1,7,22,6,1,7,0,-1,False,False,True,False,8,3,1,4,365,North,North,364
4,2,-1,-1,6,21,6,0,6,0,-1,False,False,True,False,7,4,1,11,364,North,North,363
4,2,-1,-1,7,20,6,1,7,0,-1,False,False,True,False,6,5,1,4,363,North,North,362
4,2,-1,-1,8,19,6,2,8,0,-1,False,False,True,False,5,6,1,4,362,North,North,361
4,2,-1,-1,9,18,6,3,9,0,-1,False,False,True,False,4,7,1,4,361,North,North,360
4,2,-1,-1,10,17,6,4,10,0,-1,False,False,True,False,3,8,1,4,360,North,North,359
4,2,-1,-1,11,16,6,5,11,0,-1,False,False,True,False,2,9,1,4,359,North,North,358
4,2,-1,-1,12,15,6,6,12,0,-1,True,False,False,False,1,10,10,11,358,North,North,357
4,2,-1,-1,11,14,5,6,11,0,-1,True,True,False,False,1,1,9,12,357,North,East,356
4,2,-1,-1,10,13,4,6,10,0,-1,True,False,False,False,1,10,8,13,356,East,East,355
4,2,-1,-1,9,12,3,6,9,0,-1,False,False,False,False,7,10,7,14,355,East,East,354
4,2,-1,-1,8,13,3,5,8,0,-1,False,False,False,False,8,9,7,2,354,East,South,353
4,2,-1,-1,7,14,3,4,7,0,-1,False,False,False,False,9,8,12,2,353,South,South,352
4,2,-1,-1,6,15,3,3,6,0,-1,False,False,True,False,10,7,1,2,352,South,South,351
4,2,-1,-1,5,16,3,2,5,0,-1,False,False,False,False,11,6,12,2,351,South,South,350
4,2,-1,-1,4,17,3,1,4,0,-1,False,False,True,False,12,5,1,2,350,South,South,349
4,2,-1,-1,3,18,3,0,3,0,-1,False,False,False,False,13,4,12,2,349,South,South,348
4,2,-1,-1,2,17,2,0,2,0,-1,True,True,False,False,1,1,11,3,348,South,East,347
