@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R13-16,19-21,23,28-31'

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute columna_fantasma_mas_cercano numeric
@attribute fila_fantasma_mas_cercano numeric
@attribute num_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
5,6,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-18,East,East,-19
5,7,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-19,East,North,-20
5,8,4,4,5,9,11,3,17,6,25,13,5,9,0,False,False,False,False,-20,North,North,179
5,9,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,179,North,North,178
5,8,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,178,North,South,177
5,7,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,177,South,South,176
5,6,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,False,False,176,South,South,175
5,5,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,175,South,South,174
5,4,4,3,1,1,11,3,17,6,25,13,11,3,0,False,False,True,False,174,South,South,173
5,3,4,3,1,1,11,3,17,6,25,13,11,3,0,False,True,False,False,173,South,South,172
6,3,4,3,1,1,11,3,17,6,25,13,11,3,0,True,True,False,False,172,South,East,171
7,3,4,3,1,1,11,3,17,6,25,13,11,3,0,True,True,False,False,171,East,East,170
8,3,4,3,1,1,11,3,17,6,25,13,11,3,0,False,True,False,False,170,East,East,169
9,3,4,3,1,1,11,3,17,6,25,13,11,3,0,False,True,False,False,169,East,East,168
10,3,4,3,1,1,11,3,17,6,25,13,11,3,0,False,True,False,False,168,East,East,367
11,3,4,2,1,1,3,1,17,6,25,13,17,6,0,False,True,True,False,367,East,East,366
11,4,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,366,East,North,365
11,5,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,365,North,North,364
11,6,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,364,North,North,363
11,7,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,363,North,North,362
11,8,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,362,North,North,361
11,9,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,361,North,North,360
11,10,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,360,North,North,359
11,11,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,359,North,North,358
11,12,4,2,1,1,3,1,17,6,25,13,17,6,0,True,False,False,False,358,North,North,357
12,12,4,2,1,1,3,1,17,6,25,13,17,6,0,True,True,False,False,357,North,East,356
13,12,4,2,1,1,3,1,17,6,25,13,17,6,0,True,False,False,False,356,East,East,355
14,12,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,355,East,East,354
14,11,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,354,East,South,353
14,10,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,353,South,South,352
14,9,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,352,South,South,351
14,8,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,351,South,South,350
14,7,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,True,False,350,South,South,349
14,6,4,2,1,1,3,1,17,6,25,13,17,6,0,False,False,False,False,349,South,South,348
15,6,4,2,1,1,3,1,17,6,25,13,17,6,0,True,True,False,False,348,South,East,347
16,6,4,2,1,1,3,1,17,6,25,13,17,6,0,True,True,False,False,347,East,East,546
17,6,4,1,1,1,3,1,5,1,25,13,25,13,0,True,False,False,False,546,East,East,545
16,6,4,1,1,1,3,1,5,1,25,13,25,13,0,True,True,False,False,545,East,West,544
15,6,4,1,1,1,3,1,5,1,25,13,25,13,0,True,True,False,False,544,West,West,543
14,6,4,1,1,1,3,1,5,1,25,13,25,13,0,False,False,False,False,543,West,West,542
