@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R32,35-weka.filters.unsupervised.attribute.Remove-R3,5-12,17-18-weka.filters.unsupervised.attribute.Remove-R1-2'

@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
1,-1,-1,-1,13,11,2,13,0,-1,False,False,False,False,8,9,7,2,North,North
1,-1,-1,-1,12,10,2,12,0,-1,False,False,False,False,2,2,6,3,North,East
1,-1,-1,-1,11,9,2,11,0,-1,False,False,False,False,2,2,5,4,East,East
1,-1,-1,-1,10,8,2,10,0,-1,False,False,False,False,8,2,4,5,East,East
1,-1,-1,-1,9,7,2,9,0,-1,False,False,False,False,4,2,3,6,East,East
1,-1,-1,-1,8,6,2,8,0,-1,False,False,False,False,4,2,2,7,East,East
1,-1,-1,-1,7,5,2,7,0,-1,False,False,True,False,8,2,1,8,East,East
1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,7,3,1,20,East,North
1,-1,-1,-1,5,5,0,5,0,-1,False,False,True,False,6,4,1,4,North,North
1,-1,-1,-1,6,5,1,6,0,-1,False,False,True,False,5,5,1,9,North,North
1,-1,-1,-1,7,5,2,7,0,-1,False,False,False,True,4,6,6,1,North,North
1,-1,-1,-1,6,4,2,6,0,-1,False,True,False,False,4,1,5,2,North,East
1,-1,-1,-1,5,3,2,5,0,-1,False,False,False,False,2,3,4,3,East,East
1,-1,-1,-1,4,2,2,4,0,-1,False,False,False,False,2,3,3,4,East,East
1,-1,-1,-1,3,1,2,3,0,-1,False,False,False,False,2,2,2,5,East,East
1,-1,-1,-1,2,0,2,2,0,-1,False,False,True,False,4,3,1,6,East,East
4,7,8,9,10,1,6,7,112,1,True,True,False,False,1,1,7,2,West,West
4,8,9,10,11,2,6,8,111,1,False,True,False,True,11,1,8,1,West,West
4,7,8,9,10,2,5,7,110,1,False,False,True,True,10,2,1,1,West,North
4,6,7,8,9,2,4,6,109,1,False,False,False,False,9,3,8,4,North,North
4,5,6,7,8,2,3,5,108,1,False,False,True,False,8,4,1,4,North,North
4,4,5,6,7,2,2,4,107,1,False,False,True,False,7,5,1,4,North,North
4,3,4,5,6,2,1,3,106,1,False,False,True,False,6,6,1,4,North,North
4,2,3,4,5,2,0,2,105,1,False,False,False,False,5,7,6,6,North,North
4,1,2,3,4,1,0,1,105,2,True,True,False,False,1,1,5,7,North,East
3,-1,1,2,3,1,0,1,105,3,True,True,False,False,1,1,4,8,East,East
2,-1,-1,1,2,1,0,1,105,2,False,True,False,False,5,1,3,9,East,East
4,26,27,13,17,2,11,13,335,1,False,False,False,False,3,6,5,2,South,South
4,25,26,12,16,2,10,12,334,1,False,False,True,False,4,5,1,2,South,South
4,24,25,11,15,2,9,11,333,1,False,False,False,False,5,4,2,9,South,South
4,23,24,10,14,2,8,10,332,1,False,False,True,False,6,3,1,2,South,South
4,22,23,9,13,2,7,9,331,1,False,False,False,False,7,2,9,9,South,South
4,23,24,10,12,3,7,10,330,1,True,True,False,False,1,1,8,10,South,East
4,24,25,11,11,4,7,11,329,1,False,False,False,False,2,9,7,11,East,East
4,25,26,12,10,5,5,10,328,1,False,False,False,False,7,9,6,12,East,East
4,26,27,13,9,4,5,9,327,1,True,True,False,False,1,1,5,13,East,East
4,27,28,14,8,3,5,8,326,1,False,False,False,False,4,9,4,14,East,East
4,28,29,15,7,2,5,7,325,1,False,False,False,False,5,9,3,15,East,East
4,29,30,16,6,1,5,6,324,1,True,True,False,False,1,1,2,16,East,East
4,30,31,17,5,0,5,5,323,1,False,False,True,False,5,9,1,17,East,East
4,29,30,16,4,0,4,4,322,1,False,False,True,True,6,8,1,1,East,South
4,28,29,15,3,0,3,3,321,1,False,False,True,False,7,7,1,8,South,South
4,27,28,14,2,0,2,2,320,1,False,False,True,True,8,6,1,1,South,South
4,28,27,13,1,0,1,1,319,1,False,False,True,False,9,5,1,20,South,South
3,29,26,12,-1,10,2,12,319,1,False,False,True,False,10,4,1,9,South,South
3,30,27,11,-1,10,1,11,318,1,False,False,True,True,11,3,1,1,South,South
3,31,28,10,-1,10,0,10,317,1,False,False,True,False,12,2,1,9,South,South
3,30,27,9,-1,9,0,9,316,1,True,False,False,False,1,2,2,8,South,West
3,29,26,8,-1,8,0,8,315,1,False,False,False,False,12,2,3,7,West,West
3,28,25,7,-1,7,0,7,314,1,False,False,False,False,11,2,4,6,West,West
3,27,24,6,-1,6,0,6,313,1,True,False,False,False,1,2,5,5,West,West
3,26,23,5,-1,5,0,5,312,1,False,False,False,False,14,2,6,4,West,West
3,25,22,4,-1,4,0,4,311,1,False,False,False,False,9,2,7,3,West,West
3,24,21,3,-1,3,0,3,310,1,True,False,False,False,1,2,8,2,West,West
3,23,20,2,-1,2,0,2,309,1,False,False,False,True,5,2,9,1,West,West
3,24,21,3,-1,2,1,3,308,1,False,True,False,False,6,1,9,20,West,South
3,23,20,2,-1,1,1,2,307,1,True,True,False,False,1,1,10,19,South,West
3,22,19,1,-1,0,1,1,306,1,False,True,False,False,2,1,11,18,West,West
2,21,18,-1,-1,16,2,18,306,1,True,False,True,False,1,2,1,18,West,North
2,20,17,-1,-1,15,2,17,305,1,False,False,False,False,14,2,2,17,North,West
2,19,16,-1,-1,14,2,16,304,1,False,False,False,False,14,2,3,16,West,West
2,18,15,-1,-1,13,2,15,303,1,True,False,False,False,1,2,4,15,West,West
2,17,14,-1,-1,12,2,14,302,1,False,False,False,False,14,2,5,14,West,West
2,16,13,-1,-1,11,2,13,301,1,False,False,False,False,14,2,6,13,West,West
2,15,12,-1,-1,10,2,12,300,1,True,False,False,False,1,2,7,12,West,West
2,14,11,-1,-1,9,2,11,299,1,False,False,False,False,7,2,8,11,West,West
2,13,10,-1,-1,8,2,10,298,1,False,False,False,False,14,2,9,10,West,West
2,12,9,-1,-1,7,2,9,297,1,True,False,False,False,1,2,10,9,West,West
2,11,8,-1,-1,6,2,8,296,1,False,False,False,False,3,2,11,8,West,West
2,10,7,-1,-1,5,2,7,295,1,False,False,False,False,9,2,12,7,West,West
2,9,6,-1,-1,4,2,6,294,1,True,False,False,False,1,2,13,6,West,West
2,8,5,-1,-1,3,2,5,293,1,False,False,False,False,9,2,14,5,West,West
2,7,4,-1,-1,2,2,4,292,1,False,False,False,False,9,2,15,4,West,West
2,6,3,-1,-1,1,2,3,291,1,True,False,False,False,1,2,16,3,West,West
2,5,2,-1,-1,0,2,2,290,1,False,False,False,False,14,2,17,2,West,West
2,4,1,-1,-1,0,1,1,289,1,False,False,True,False,13,3,1,2,West,North
1,3,-1,-1,-1,1,2,3,289,1,False,False,True,False,12,4,1,2,North,North
1,2,-1,-1,-1,1,1,2,288,1,False,False,True,False,11,5,1,2,North,North
4,12,7,4,1,1,0,1,1,7,False,False,False,False,4,9,6,13,North,East
3,14,7,6,-1,1,5,6,1,6,False,False,False,False,4,9,5,14,East,East
3,12,7,5,-1,1,4,5,1,5,False,False,False,False,5,8,5,9,East,South
3,12,8,3,-1,0,3,3,1,4,False,False,False,False,6,7,5,14,South,South
3,10,8,3,-1,0,3,3,1,5,False,False,False,False,7,6,5,14,South,South
3,10,8,3,-1,0,3,3,1,6,False,False,False,False,8,5,5,14,South,South
3,8,8,3,-1,1,2,3,1,7,False,False,False,False,9,4,5,14,South,South
3,8,10,3,-1,1,2,3,1,8,False,False,False,False,10,3,5,14,South,South
3,7,12,2,-1,1,1,2,1,9,False,False,False,False,11,2,5,14,South,South
3,8,12,2,-1,1,1,2,1,8,False,False,False,False,11,2,4,15,South,East
3,10,14,2,-1,1,1,2,1,9,False,True,False,False,12,1,4,15,East,South
3,11,15,2,-1,0,2,2,1,8,False,True,False,False,12,1,3,16,South,East
3,11,13,2,-1,0,2,2,1,7,False,False,False,False,11,2,3,16,East,North
3,13,13,2,-1,0,2,2,1,6,False,False,False,False,10,3,3,16,North,North
3,15,11,2,-1,0,2,2,1,5,False,False,False,False,9,4,3,16,North,North
3,16,9,2,-1,1,1,2,1,4,False,False,False,False,8,5,3,16,North,North
3,16,9,2,-1,1,1,2,1,3,False,False,False,False,7,6,3,16,North,North
3,14,9,1,-1,0,1,1,1,4,False,False,False,False,7,6,4,15,North,West
2,16,9,-1,-1,7,2,9,1,3,False,False,False,False,6,7,4,15,West,North
2,17,10,-1,-1,7,3,10,1,4,False,False,False,False,5,8,4,10,North,North
2,16,8,-1,-1,6,2,8,1,5,False,False,False,False,5,8,5,9,North,West
2,14,8,-1,-1,5,3,8,1,6,False,False,False,False,5,8,6,8,West,West
2,13,6,-1,-1,3,3,6,1,7,False,False,False,False,5,8,7,7,West,West
2,13,4,-1,-1,2,2,4,1,8,False,False,False,False,5,8,8,6,West,West
2,13,3,-1,-1,1,2,3,1,9,False,False,False,False,5,8,9,5,West,West
2,11,1,-1,-1,0,1,1,1,8,False,False,False,False,6,7,9,10,West,South
1,11,-1,-1,-1,6,5,11,1,9,False,False,False,False,7,6,9,10,South,South
