@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R35-weka.filters.unsupervised.attribute.Remove-R32-weka.filters.unsupervised.attribute.Remove-R1-3,5-12-weka.filters.unsupervised.attribute.Remove-R6-7-weka.filters.unsupervised.attribute.Remove-R2-5-weka.filters.unsupervised.attribute.Remove-R5'

@attribute num_fantasmas_vivos numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
1,3,3,6,-1,False,True,False,False,2,1,6,13,East,East
1,2,3,5,-1,False,True,False,False,4,1,5,14,East,East
1,1,3,4,-1,False,True,False,False,2,1,4,15,East,East
1,0,3,3,-1,False,True,False,False,4,1,3,16,East,East
1,0,2,2,-1,False,False,False,False,3,2,3,16,East,North
4,4,8,12,-1,False,False,True,True,2,15,1,1,Stop,South
4,4,7,11,-1,False,False,False,True,3,14,17,1,South,South
4,4,6,10,-1,False,False,False,True,4,13,17,1,South,South
4,4,5,9,-1,False,False,False,True,5,12,10,1,South,South
4,4,4,8,-1,False,False,True,True,6,11,1,1,South,South
4,4,3,7,-1,False,False,False,True,7,10,20,1,South,South
4,4,2,6,-1,False,False,True,True,8,9,1,1,South,South
4,4,1,5,-1,False,False,True,True,9,8,1,1,South,South
4,4,0,4,-1,False,False,True,True,10,7,1,1,South,South
4,4,1,5,-1,False,False,True,True,11,6,1,1,South,South
4,4,2,6,-1,False,False,True,True,12,5,1,1,South,South
4,4,3,7,-1,False,False,False,True,13,4,11,1,South,South
4,3,3,6,-1,True,False,False,False,1,4,10,2,South,East
4,2,3,5,-1,False,False,False,False,5,4,9,3,East,East
4,1,3,4,-1,False,False,False,False,5,4,8,4,East,East
4,0,3,3,-1,False,False,False,False,5,4,7,5,East,East
