@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,5-12,17-18'

@attribute num_fantasmas numeric
@attribute num_fantasmas_vivos numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute score numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}
@attribute next_score numeric

@data
4,1,-1,5,-1,-1,1,4,5,1,13,False,False,False,False,7,6,13,6,580,North,North,579
4,1,-1,4,-1,-1,1,3,4,1,12,False,False,False,False,6,7,13,6,579,North,North,578
4,1,-1,3,-1,-1,1,2,3,1,13,False,False,False,True,5,8,13,1,578,North,North,577
4,1,-1,2,-1,-1,1,1,2,1,14,False,False,False,False,4,9,13,6,577,North,North,576
4,4,6,6,12,14,4,2,6,0,-1,True,True,False,False,1,1,17,2,-1,Stop,East,-2
4,4,5,5,11,13,3,2,5,0,-1,True,True,False,False,1,1,16,3,-2,East,East,-3
4,4,4,4,10,12,2,2,4,0,-1,True,True,False,False,1,1,15,4,-3,East,East,-4
4,4,3,3,9,11,1,2,3,0,-1,True,True,False,False,1,1,14,5,-4,East,East,-5
4,4,2,2,8,10,0,2,2,0,-1,True,True,False,False,1,1,13,6,-5,East,East,-6
4,4,3,1,7,9,1,0,1,0,-1,True,False,False,False,1,4,12,7,-6,East,East,193
4,3,4,-1,6,8,2,2,4,0,-1,True,True,False,False,1,1,11,8,193,East,East,192
4,3,3,-1,7,9,1,2,3,0,-1,True,False,False,False,1,4,12,7,192,East,West,191
4,3,2,-1,6,10,1,1,2,0,-1,False,False,True,True,2,3,1,1,191,West,South,190
4,3,1,-1,5,11,1,0,1,0,-1,False,False,False,False,3,2,12,7,190,South,South,389
4,2,-1,-1,6,12,5,1,6,0,-1,True,False,False,False,1,2,13,6,389,South,West,388
4,2,-1,-1,5,11,4,1,5,0,-1,False,False,False,False,3,2,12,7,388,West,East,387
4,2,-1,-1,4,10,3,1,4,0,-1,True,False,False,False,1,2,11,8,387,East,East,386
4,2,-1,-1,3,9,2,1,3,0,-1,True,False,False,False,1,2,10,9,386,East,East,385
4,2,-1,-1,2,8,1,1,2,0,-1,True,False,False,False,1,2,9,10,385,East,East,384
4,2,-1,-1,1,7,0,1,1,0,-1,True,False,False,False,1,2,8,11,384,East,East,583
4,1,-1,-1,-1,8,5,3,8,0,-1,False,True,False,False,2,1,8,11,583,East,South,582
4,1,-1,-1,-1,7,4,3,7,0,-1,False,True,False,False,2,1,7,12,582,South,East,581
4,1,-1,-1,-1,6,3,3,6,0,-1,False,True,False,False,2,1,6,13,581,East,East,580
4,1,-1,-1,-1,5,2,3,5,0,-1,False,True,False,False,4,1,5,14,580,East,East,579
4,1,-1,-1,-1,4,1,3,4,0,-1,False,True,False,False,2,1,4,15,579,East,East,578
4,1,-1,-1,-1,3,0,3,3,0,-1,False,True,False,False,4,1,3,16,578,East,East,577
4,1,-1,-1,-1,2,0,2,2,0,-1,False,False,False,False,3,2,3,16,577,East,North,576
4,4,12,24,27,28,4,8,12,0,-1,False,False,True,True,2,15,1,1,-1,Stop,South,-2
4,4,11,23,26,27,4,7,11,0,-1,False,False,False,True,3,14,17,1,-2,South,South,-3
4,4,10,22,25,26,4,6,10,0,-1,False,False,False,True,4,13,17,1,-3,South,South,-4
4,4,9,21,24,25,4,5,9,0,-1,False,False,False,True,5,12,10,1,-4,South,South,-5
4,4,8,20,23,24,4,4,8,0,-1,False,False,True,True,6,11,1,1,-5,South,South,-6
4,4,7,19,22,25,4,3,7,0,-1,False,False,False,True,7,10,20,1,-6,South,South,-7
4,4,6,18,21,26,4,2,6,0,-1,False,False,True,True,8,9,1,1,-7,South,South,-8
4,4,5,17,20,27,4,1,5,0,-1,False,False,True,True,9,8,1,1,-8,South,South,-9
4,4,4,16,19,28,4,0,4,0,-1,False,False,True,True,10,7,1,1,-9,South,South,-10
4,4,5,15,18,29,4,1,5,0,-1,False,False,True,True,11,6,1,1,-10,South,South,-11
4,4,6,14,17,30,4,2,6,0,-1,False,False,True,True,12,5,1,1,-11,South,South,-12
4,4,7,13,16,31,4,3,7,0,-1,False,False,False,True,13,4,11,1,-12,South,South,-13
4,4,6,12,15,30,3,3,6,0,-1,True,False,False,False,1,4,10,2,-13,South,East,-14
4,4,5,11,14,29,2,3,5,0,-1,False,False,False,False,5,4,9,3,-14,East,East,-15
4,4,4,10,13,28,1,3,4,0,-1,False,False,False,False,5,4,8,4,-15,East,East,-16
4,4,3,9,12,27,0,3,3,0,-1,False,False,False,False,5,4,7,5,-16,East,East,-17
4,4,2,10,13,26,0,2,2,0,-1,False,False,False,False,4,5,2,3,-17,East,North,-18
4,4,1,11,14,25,0,1,1,0,-1,False,False,False,False,3,6,2,3,-18,North,North,181
4,3,-1,12,15,24,6,6,12,0,-1,False,False,False,False,2,7,2,3,181,North,North,180
4,3,-1,11,14,23,5,6,11,0,-1,False,False,True,False,2,4,1,4,180,North,East,179
4,3,-1,10,13,24,5,5,10,0,-1,False,False,True,False,3,3,1,4,179,East,South,178
4,3,-1,9,12,25,5,4,9,0,-1,False,False,True,False,4,2,1,4,178,South,South,177
4,3,-1,8,11,26,5,3,8,0,-1,False,True,False,False,5,1,6,6,177,South,South,176
4,3,-1,7,10,25,4,3,7,0,-1,True,True,False,False,1,1,5,7,176,South,East,175
4,3,-1,6,9,24,3,3,6,0,-1,False,False,False,False,11,4,4,8,175,East,East,174
4,3,-1,5,8,23,2,3,5,0,-1,False,False,False,False,11,4,3,9,174,East,East,173
4,3,-1,4,7,22,1,3,4,0,-1,False,False,False,False,11,4,2,10,173,East,East,172
4,3,-1,3,6,21,0,3,3,0,-1,False,False,True,False,7,4,1,11,172,East,East,171
4,3,-1,2,7,22,0,2,2,0,-1,False,False,True,False,8,3,1,4,171,East,South,170
4,3,-1,1,8,23,0,1,1,0,-1,False,False,True,False,9,2,1,4,170,South,South,369
4,2,-1,-1,9,24,6,3,9,0,-1,False,True,True,False,10,1,1,11,369,South,South,368
4,2,-1,-1,8,23,6,2,8,0,-1,False,False,True,False,9,2,1,4,368,South,North,367
4,2,-1,-1,7,22,6,1,7,0,-1,False,False,True,False,8,3,1,4,367,North,North,366
4,2,-1,-1,6,21,6,0,6,0,-1,False,False,True,False,7,4,1,11,366,North,North,365
4,2,-1,-1,7,20,6,1,7,0,-1,False,False,True,False,6,5,1,4,365,North,North,364
