@relation pacman-weka.filters.unsupervised.attribute.Remove-R3-15

@attribute columna_pacman numeric
@attribute fila_pacman numeric
@attribute num_comida numeric
@attribute dist_comida numeric
@attribute dir_pacman {Stop,East,West,North,South}

@data
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
14,7,1,5,South
14,6,1,4,South
14,5,1,5,South
15,5,1,6,East
16,5,1,7,East
17,5,1,8,East
18,5,1,9,East
18,5,1,9,East
18,5,1,9,East
18,4,1,10,South
18,3,1,11,South
17,3,1,10,West
16,3,1,9,West
15,3,1,8,West
14,3,1,7,West
13,3,1,6,West
13,3,1,6,West
13,4,1,5,North
13,5,1,4,North
12,5,1,3,West
11,5,1,2,West
10,5,1,1,West
10,6,0,0,North
10,7,0,0,North
10,8,0,0,North
10,9,0,0,North
10,10,0,0,North
10,11,0,0,North
10,11,0,0,North
10,10,0,0,South
10,9,0,0,South
10,8,0,0,South
9,8,0,0,West
8,8,0,0,West
7,8,0,0,West
6,8,0,0,West
5,8,0,0,West
4,8,0,0,West
4,9,0,0,North
4,9,0,0,North
4,9,0,0,North
4,9,0,0,North
4,9,0,0,North
4,9,0,0,North
4,9,0,0,North
3,9,0,0,West
2,9,0,0,West
1,9,0,0,West
1,9,0,0,West
1,9,0,0,West
1,9,0,0,West
1,8,0,0,South
1,7,0,0,South
1,6,0,0,South
1,5,0,0,South
2,5,0,0,East
3,5,0,0,East
4,5,0,0,East
5,5,0,0,East
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
10,10,2,4,South
10,9,2,3,South
11,9,2,4,East
12,9,2,3,East
13,9,2,2,East
14,9,2,1,East
15,9,2,2,East
16,9,2,3,East
17,9,2,4,East
18,9,2,5,East
18,10,2,4,North
18,11,2,5,North
18,11,2,5,North
18,11,2,5,North
17,11,2,4,West
16,11,2,3,West
15,11,2,2,West
14,11,2,1,West
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
13,8,1,5,West
12,8,1,4,West
12,8,1,4,West
12,8,1,4,West
12,8,1,4,West
12,9,1,5,North
11,9,1,4,West
10,9,1,3,West
10,8,1,2,South
10,7,1,1,South
10,6,0,0,South
10,5,0,0,South
10,4,0,0,South
9,4,0,0,West
8,4,0,0,West
7,4,0,0,West
6,4,0,0,West
5,4,0,0,West
4,4,0,0,West
3,4,0,0,West
2,4,0,0,West
3,4,0,0,East
4,4,0,0,East
5,4,0,0,East
6,4,0,0,East
7,4,0,0,East
8,4,0,0,East
9,4,0,0,East
9,5,0,0,North
9,6,0,0,North
9,7,0,0,North
9,8,0,0,North
9,9,0,0,North
10,9,0,0,East
11,9,0,0,East
12,9,0,0,East
12,8,0,0,South
12,7,0,0,South
12,7,0,0,South
12,7,0,0,South
13,7,0,0,East
14,7,0,0,East
14,6,0,0,South
14,5,0,0,South
13,5,0,0,West
12,5,0,0,West
11,5,0,0,West
10,5,0,0,West
9,5,0,0,West
8,5,0,0,West
7,5,0,0,West
6,5,0,0,West
5,5,0,0,West
5,4,0,0,South
5,3,0,0,South
5,3,0,0,South
5,3,0,0,South
5,3,0,0,South
4,3,0,0,West
3,3,0,0,West
2,3,0,0,West
1,3,0,0,West
1,4,0,0,North
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
1,11,2,14,Stop
2,11,2,13,East
3,11,2,12,East
4,11,2,11,East
5,11,2,10,East
6,11,2,9,East
7,11,2,8,East
8,11,2,7,East
9,11,2,6,East
10,11,2,5,East
11,11,2,4,East
12,11,2,3,East
13,11,2,2,East
14,11,2,1,East
14,10,1,8,South
14,9,1,7,South
14,8,1,6,South
13,8,1,5,West
12,8,1,4,West
12,8,1,4,West
12,8,1,4,West
12,8,1,4,West
12,7,1,3,South
12,7,1,3,South
12,7,1,3,South
12,7,1,3,South
13,7,1,4,East
14,7,1,5,East
15,7,1,6,East
16,7,1,7,East
17,7,1,8,East
17,8,1,9,North
17,9,1,10,North
17,9,1,10,North
16,9,1,9,West
15,9,1,8,West
14,9,1,7,West
13,9,1,6,West
12,9,1,5,West
11,9,1,4,West
10,9,1,3,West
10,8,1,2,South
10,7,1,1,South
10,6,0,0,South
10,5,0,0,South
9,5,0,0,West
8,5,0,0,West
7,5,0,0,West
6,5,0,0,West
5,5,0,0,West
4,5,0,0,West
3,5,0,0,West
2,5,0,0,West
1,5,0,0,West
1,5,0,0,West
1,6,0,0,North
1,7,0,0,North
1,8,0,0,North
2,8,0,0,East
3,8,0,0,East
4,8,0,0,East
5,8,0,0,East
6,8,0,0,East
7,8,0,0,East
8,8,0,0,East
9,8,0,0,East
9,7,0,0,South
9,6,0,0,South
9,5,0,0,South
9,4,0,0,South
8,4,0,0,West
7,4,0,0,West
6,4,0,0,West
5,4,0,0,West
4,4,0,0,West
4,3,0,0,South
4,3,0,0,South
