@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,16-17'

@attribute num_fantasmas numeric
@attribute columna_fantasma_1 numeric
@attribute fila_fantasma_1 numeric
@attribute columna_fantasma_2 numeric
@attribute fila_fantasma_2 numeric
@attribute columna_fantasma_3 numeric
@attribute fila_fantasma_3 numeric
@attribute columna_fantasma_4 numeric
@attribute fila_fantasma_4 numeric
@attribute dist_1 numeric
@attribute dist_2 numeric
@attribute dist_3 numeric
@attribute dist_4 numeric
@attribute dir_pacman {Stop,East,West,North,South}

@data
4,1,4,6,8,5,1,7,1,11,8,0,0,West
4,1,4,6,9,5,1,7,1,10,8,0,0,West
4,1,3,6,9,5,1,7,1,12,7,0,0,North
4,1,3,5,9,5,1,7,1,13,7,0,0,North
4,1,4,5,8,5,1,7,1,13,5,0,0,North
4,1,3,5,9,5,1,7,1,15,5,0,0,North
4,1,4,5,10,5,1,7,1,15,5,0,0,North
4,1,3,5,9,5,1,7,1,17,7,0,0,North
4,1,4,5,9,5,1,7,1,15,6,0,0,West
4,2,4,5,8,5,1,7,1,13,6,0,0,West
4,3,4,6,8,5,1,7,1,11,4,0,0,West
4,2,4,7,8,5,1,7,1,11,4,0,0,West
4,3,4,7,7,5,1,7,1,9,4,0,0,South
4,3,4,6,7,5,1,7,1,8,2,0,0,South
4,3,4,3,1,5,1,7,1,7,0,0,0,South
4,4,4,3,1,5,1,7,1,5,0,0,0,South
4,3,4,3,1,5,1,7,1,7,0,0,0,East
4,3,5,3,1,5,1,7,1,7,0,0,0,East
4,4,5,3,1,5,1,7,1,7,0,0,0,East
4,5,5,3,1,5,1,7,1,7,0,0,0,East
4,5,4,3,1,5,1,7,1,7,0,0,0,South
4,4,4,3,1,5,1,7,1,7,0,0,0,South
4,5,4,3,1,5,1,7,1,5,0,0,0,West
4,5,5,3,1,5,1,7,1,3,0,0,0,West
4,4,5,3,1,5,1,7,1,3,0,0,0,West
4,4,5,3,1,5,1,7,1,2,0,0,0,West
4,3,5,3,1,5,1,7,1,2,0,0,0,West
4,2,5,3,1,5,1,7,1,2,0,0,0,West
4,6,5,6,9,8,11,14,6,11,7,7,18,Stop
4,5,5,6,10,8,11,14,6,10,6,7,17,Stop
4,5,4,5,10,8,11,14,7,11,5,7,16,Stop
4,5,4,6,10,8,11,14,8,11,6,7,17,Stop
4,5,3,6,11,7,11,15,8,12,5,6,18,Stop
4,5,3,5,11,6,11,15,7,12,4,5,17,Stop
4,5,3,5,10,6,11,14,7,12,5,5,16,Stop
4,6,3,5,9,6,11,13,7,13,6,5,17,Stop
4,6,3,5,9,7,11,14,7,13,6,6,18,Stop
4,5,3,5,9,6,11,14,6,11,5,4,16,East
4,6,3,5,10,5,11,14,7,11,3,2,16,East
4,7,3,5,10,5,1,15,7,11,2,0,16,East
4,6,3,5,9,5,1,16,7,9,2,0,15,East
4,6,3,5,9,5,1,16,7,8,3,0,14,East
4,5,3,6,9,5,1,16,7,10,3,0,14,East
4,5,3,6,9,5,1,17,7,11,4,0,12,East
4,4,3,6,8,5,1,17,8,13,6,0,12,East
4,5,3,7,8,5,1,18,8,13,6,0,10,East
4,5,3,7,7,5,1,17,8,12,6,0,10,South
4,5,3,6,7,5,1,18,8,11,6,0,8,South
4,5,3,5,7,5,1,17,8,10,6,0,6,South
4,4,3,4,7,5,1,16,8,10,6,0,8,South
4,5,3,5,7,5,1,17,8,8,4,0,8,West
4,6,3,5,8,5,1,17,7,6,4,0,10,West
4,6,3,5,7,5,1,17,8,5,2,0,12,West
4,7,3,5,7,5,1,18,8,5,1,0,13,West
4,6,3,3,1,5,1,18,8,5,0,0,13,West
4,6,4,3,1,5,1,17,8,5,0,0,13,North
4,5,4,3,1,5,1,17,9,5,0,0,13,North
4,5,5,3,1,5,1,18,9,5,0,0,13,East
4,6,5,3,1,5,1,18,8,5,0,0,12,East
4,7,5,3,1,5,1,18,8,5,0,0,11,East
4,7,4,3,1,5,1,18,8,7,0,0,10,East
4,7,5,3,1,5,1,18,8,7,0,0,8,East
4,6,5,3,1,5,1,17,8,9,0,0,6,East
4,7,5,3,1,5,1,16,8,9,0,0,6,East
4,6,5,3,1,5,1,16,7,11,0,0,5,East
4,6,5,3,1,5,1,16,7,12,0,0,3,East
4,5,5,3,1,5,1,15,7,14,0,0,3,North
4,5,4,3,1,5,1,15,8,16,0,0,5,North
4,4,4,3,1,5,1,16,8,16,0,0,5,South
4,4,5,3,1,5,1,17,8,14,0,0,3,South
4,3,5,3,1,5,1,17,9,14,0,0,4,South
4,3,5,3,1,5,1,17,9,13,0,0,6,South
4,3,5,3,1,5,1,18,9,14,0,0,4,East
4,3,5,3,1,5,1,18,8,15,0,0,3,East
4,4,5,3,1,5,1,18,8,15,0,0,2,East
4,5,5,3,1,5,1,18,8,15,0,0,0,East
4,6,5,3,1,5,1,7,1,14,0,0,0,East
4,6,5,3,1,5,1,7,1,14,0,0,0,East
4,6,5,3,1,5,1,7,1,15,0,0,0,North
4,6,5,3,1,5,1,7,1,16,0,0,0,North
4,6,5,3,1,5,1,7,1,15,0,0,0,West
4,6,5,3,1,5,1,7,1,14,0,0,0,West
4,6,5,3,1,5,1,7,1,13,0,0,0,West
4,7,5,3,1,5,1,7,1,11,0,0,0,West
4,8,5,3,1,5,1,7,1,9,0,0,0,West
4,8,4,3,1,5,1,7,1,9,0,0,0,West
4,8,4,3,1,5,1,7,1,8,0,0,0,West
4,7,4,3,1,5,1,7,1,8,0,0,0,West
4,6,4,3,1,5,1,7,1,8,0,0,0,South
4,6,5,3,1,5,1,7,1,6,0,0,0,South
