@relation InstanceResultListener

@attribute Key_Dataset {pacman,'pacman-weka.filters.unsupervised.attribute.Remove-R1-2,16-17',pacman-weka.filters.unsupervised.attribute.Remove-R3-15}
@attribute Key_Run {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Fold {1,2,3,4,5,6,7,8,9,10}
@attribute Key_Scheme {weka.classifiers.trees.J48,weka.classifiers.lazy.IBk,weka.classifiers.rules.PART,weka.classifiers.rules.ZeroR,weka.classifiers.bayes.NaiveBayes}
@attribute Key_Scheme_options {'-C 0.25 -M 2','-K 1 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-K 5 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"','-M 2 -C 0.25 -Q 1',''}
@attribute Key_Scheme_version_ID {-217733168393644444,-3080186098777067172,8121455039782598361,48055541465867954,5995231201785697655}
@attribute Date_time numeric
@attribute Number_of_training_instances numeric
@attribute Number_of_testing_instances numeric
@attribute Number_correct numeric
@attribute Number_incorrect numeric
@attribute Number_unclassified numeric
@attribute Percent_correct numeric
@attribute Percent_incorrect numeric
@attribute Percent_unclassified numeric
@attribute Kappa_statistic numeric
@attribute Mean_absolute_error numeric
@attribute Root_mean_squared_error numeric
@attribute Relative_absolute_error numeric
@attribute Root_relative_squared_error numeric
@attribute SF_prior_entropy numeric
@attribute SF_scheme_entropy numeric
@attribute SF_entropy_gain numeric
@attribute SF_mean_prior_entropy numeric
@attribute SF_mean_scheme_entropy numeric
@attribute SF_mean_entropy_gain numeric
@attribute KB_information numeric
@attribute KB_mean_information numeric
@attribute KB_relative_information numeric
@attribute True_positive_rate numeric
@attribute Num_true_positives numeric
@attribute False_positive_rate numeric
@attribute Num_false_positives numeric
@attribute True_negative_rate numeric
@attribute Num_true_negatives numeric
@attribute False_negative_rate numeric
@attribute Num_false_negatives numeric
@attribute IR_precision numeric
@attribute IR_recall numeric
@attribute F_measure numeric
@attribute Matthews_correlation numeric
@attribute Area_under_ROC numeric
@attribute Area_under_PRC numeric
@attribute Weighted_avg_true_positive_rate numeric
@attribute Weighted_avg_false_positive_rate numeric
@attribute Weighted_avg_true_negative_rate numeric
@attribute Weighted_avg_false_negative_rate numeric
@attribute Weighted_avg_IR_precision numeric
@attribute Weighted_avg_IR_recall numeric
@attribute Weighted_avg_F_measure numeric
@attribute Weighted_avg_matthews_correlation numeric
@attribute Weighted_avg_area_under_ROC numeric
@attribute Weighted_avg_area_under_PRC numeric
@attribute Unweighted_macro_avg_F_measure numeric
@attribute Unweighted_micro_avg_F_measure numeric
@attribute Elapsed_Time_training numeric
@attribute Elapsed_Time_testing numeric
@attribute UserCPU_Time_training numeric
@attribute UserCPU_Time_testing numeric
@attribute UserCPU_Time_millis_training numeric
@attribute UserCPU_Time_millis_testing numeric
@attribute Serialized_Model_Size numeric
@attribute Serialized_Train_Set_Size numeric
@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 90\nSize of the tree: 179\n','Number of leaves: 97\nSize of the tree: 193\n','Number of leaves: 102\nSize of the tree: 203\n','Number of leaves: 104\nSize of the tree: 207\n','Number of leaves: 108\nSize of the tree: 215\n','Number of leaves: 98\nSize of the tree: 195\n','Number of leaves: 107\nSize of the tree: 213\n','Number of leaves: 101\nSize of the tree: 201\n','Number of leaves: 105\nSize of the tree: 209\n','Number of leaves: 99\nSize of the tree: 197\n','Number of leaves: 96\nSize of the tree: 191\n','Number of leaves: 109\nSize of the tree: 217\n','Number of leaves: 94\nSize of the tree: 187\n','Number of leaves: 89\nSize of the tree: 177\n','Number of leaves: 106\nSize of the tree: 211\n','Number of leaves: 100\nSize of the tree: 199\n','Number of leaves: 93\nSize of the tree: 185\n','Number of leaves: 103\nSize of the tree: 205\n','Number of leaves: 95\nSize of the tree: 189\n','Number of leaves: 92\nSize of the tree: 183\n','Number of leaves: 110\nSize of the tree: 219\n','Number of leaves: 114\nSize of the tree: 227\n','Number of leaves: 120\nSize of the tree: 239\n','Number of leaves: 112\nSize of the tree: 223\n','Number of leaves: 113\nSize of the tree: 225\n','Number of leaves: 119\nSize of the tree: 237\n','Number of leaves: 124\nSize of the tree: 247\n','Number of leaves: 115\nSize of the tree: 229\n','Number of leaves: 123\nSize of the tree: 245\n','Number of leaves: 116\nSize of the tree: 231\n','Number of leaves: 111\nSize of the tree: 221\n','Number of leaves: 121\nSize of the tree: 241\n','Number of leaves: 125\nSize of the tree: 249\n','Number of leaves: 117\nSize of the tree: 233\n','Number of leaves: 127\nSize of the tree: 253\n','Number of leaves: 128\nSize of the tree: 255\n','Number of leaves: 122\nSize of the tree: 243\n','Number of leaves: 118\nSize of the tree: 235\n','Number of leaves: 126\nSize of the tree: 251\n','Number of leaves: 130\nSize of the tree: 259\n','Number of leaves: 129\nSize of the tree: 257\n','Number of leaves: 57\nSize of the tree: 113\n','Number of leaves: 56\nSize of the tree: 111\n','Number of leaves: 58\nSize of the tree: 115\n','Number of leaves: 50\nSize of the tree: 99\n','Number of leaves: 59\nSize of the tree: 117\n','Number of leaves: 53\nSize of the tree: 105\n','Number of leaves: 62\nSize of the tree: 123\n','Number of leaves: 65\nSize of the tree: 129\n','Number of leaves: 47\nSize of the tree: 93\n','Number of leaves: 61\nSize of the tree: 121\n','Number of leaves: 54\nSize of the tree: 107\n','Number of leaves: 60\nSize of the tree: 119\n','Number of leaves: 49\nSize of the tree: 97\n','Number of leaves: 55\nSize of the tree: 109\n','Number of leaves: 64\nSize of the tree: 127\n','Number of leaves: 52\nSize of the tree: 103\n','Number of leaves: 69\nSize of the tree: 137\n','Number of leaves: 63\nSize of the tree: 125\n','Number of leaves: 51\nSize of the tree: 101\n','Number of leaves: 48\nSize of the tree: 95\n','Number of leaves: 66\nSize of the tree: 131\n','Number of rules: 68\n','Number of rules: 73\n','Number of rules: 78\n','Number of rules: 77\n','Number of rules: 80\n','Number of rules: 81\n','Number of rules: 76\n','Number of rules: 89\n','Number of rules: 72\n','Number of rules: 82\n','Number of rules: 74\n','Number of rules: 83\n','Number of rules: 75\n','Number of rules: 79\n','Number of rules: 69\n','Number of rules: 70\n','Number of rules: 71\n','Number of rules: 84\n','Number of rules: 88\n','Number of rules: 98\n','Number of rules: 95\n','Number of rules: 90\n','Number of rules: 94\n','Number of rules: 106\n','Number of rules: 96\n','Number of rules: 101\n','Number of rules: 99\n','Number of rules: 93\n','Number of rules: 92\n','Number of rules: 100\n','Number of rules: 102\n','Number of rules: 104\n','Number of rules: 103\n','Number of rules: 97\n','Number of rules: 105\n','Number of rules: 86\n','Number of rules: 91\n','Number of rules: 87\n','Number of rules: 48\n','Number of rules: 49\n','Number of rules: 46\n','Number of rules: 44\n','Number of rules: 50\n','Number of rules: 52\n','Number of rules: 45\n','Number of rules: 47\n','Number of rules: 56\n','Number of rules: 59\n','Number of rules: 51\n','Number of rules: 53\n','Number of rules: 40\n','Number of rules: 54\n','Number of rules: 41\n','Number of rules: 57\n','Number of rules: 42\n','Number of rules: 43\n','Number of rules: 55\n','Number of rules: 39\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric

@data
pacman,2,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,57,17,0,77.027027,22.972973,0,0.694734,0.112224,0.248662,37.045443,63.976331,158.523474,70.305219,88.218255,2.142209,0.950071,1.192139,113.712051,1.536649,5262.130101,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.77027,0.078621,0.921379,0.22973,0.782996,0.77027,0.768167,0.699453,0.933923,0.798024,0.791764,0.77027,0,0.011,0,0.01,0,10,119393,117280,14864,95.945946,31.621622,?,?,?,?
pacman,2,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,60,14,0,81.081081,18.918919,0,0.748054,0.094246,0.216443,31.110924,55.687035,158.523474,36.824153,121.699321,2.142209,0.497624,1.644585,121.699321,1.644585,5631.748398,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.810811,0.062483,0.937517,0.189189,0.819605,0.810811,0.806053,0.754748,0.970423,0.867522,0.819762,0.810811,0,0.008,0,0.01,0,10,119393,117280,14864,100,31.081081,?,?,?,?
pacman,3,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,54,20,0,72.972973,27.027027,0,0.640777,0.130633,0.284543,43.082226,73.131327,158.811023,112.99258,45.818443,2.146095,1.526927,0.619168,103.793406,1.402614,4804.102158,1,4,0.028571,2,0.971429,68,0,0,0.666667,1,0.8,0.804748,0.996429,0.916667,0.72973,0.088337,0.911663,0.27027,0.72532,0.72973,0.71583,0.639714,0.903377,0.725924,0.704127,0.72973,0,0.009,0,0.01,0,10,119441,117280,14864,90.540541,31.621622,?,?,?,?
pacman,3,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,48,26,0,64.864865,35.135135,0,0.525875,0.137385,0.28595,45.308949,73.492844,158.811023,74.493674,84.317349,2.146095,1.006671,1.139424,101.365121,1.369799,4691.708416,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.648649,0.132759,0.867241,0.351351,0.635912,0.648649,0.628931,0.519553,0.909966,0.742764,0.667206,0.648649,0,0.009,0,0.01,0,10,119449,117280,14864,97.297297,32.972973,?,?,?,?
pacman,3,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,54,20,0,72.972973,27.027027,0,0.639552,0.118061,0.24483,38.935845,62.924515,158.811023,46.740001,112.071022,2.146095,0.631622,1.514473,112.071022,1.514473,5187.233561,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.72973,0.0966,0.9034,0.27027,0.734579,0.72973,0.721348,0.642377,0.949619,0.820096,0.758901,0.72973,0.001,0.009,0,0.01,0,10,119393,117280,14864,100,33.783784,?,?,?,?
pacman,3,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,53,21,0,71.621622,28.378378,0,0.619863,0.128401,0.281431,42.345947,72.331431,158.811023,95.232315,63.578709,2.146095,1.286923,0.859172,105.710227,1.428517,4892.822633,1,4,0.042857,3,0.957143,67,0,0,0.571429,1,0.727273,0.739553,0.989286,0.767857,0.716216,0.100961,0.899039,0.283784,0.75349,0.716216,0.698447,0.63257,0.911842,0.734936,0.682089,0.716216,0,0.009,0,0.01,0,10,119433,117280,14864,93.243243,31.621622,?,?,?,?
pacman,3,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,57,17,0,77.027027,22.972973,0,0.697086,0.110419,0.252238,36.362499,64.722124,160.103071,78.515074,81.587997,2.163555,1.061015,1.102541,115.663011,1.563014,5358.287147,1,5,0.014493,1,0.985507,68,0,0,0.833333,1,0.909091,0.906232,1,1,0.77027,0.071377,0.928623,0.22973,0.779189,0.77027,0.767918,0.701977,0.9297,0.80169,0.768282,0.77027,0.001,0.008,0,0,0,0,119393,117280,14864,94.594595,30.540541,?,?,?,?
pacman,3,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.658821,0.131089,0.273914,43.16938,70.283777,160.103071,87.431915,72.671156,2.163555,1.181512,0.982043,105.307358,1.423072,4878.543793,1,5,0.014493,1,0.985507,68,0,0,0.833333,1,0.909091,0.906232,1,1,0.743243,0.084985,0.915015,0.256757,0.734041,0.743243,0.732068,0.657615,0.912849,0.745485,0.726979,0.743243,0.001,0.007,0,0.01,0,10,119433,117280,14864,94.594595,33.243243,?,?,?,?
pacman,3,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,45,29,0,60.810811,39.189189,0,0.48001,0.14996,0.305941,49.383941,78.501711,160.103071,96.348575,63.754497,2.163555,1.302008,0.861547,97.241764,1.314078,4504.891337,1,5,0.014493,1,0.985507,68,0,0,0.833333,1,0.909091,0.906232,1,1,0.608108,0.124559,0.875441,0.391892,0.59847,0.608108,0.591772,0.481683,0.889336,0.663208,0.595334,0.608108,0,0.008,0,0.02,0,20,119449,117280,14864,94.594595,32.972973,?,?,?,?
pacman,3,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,58,16,0,78.378378,21.621622,0,0.713733,0.121218,0.254643,39.955969,65.407496,159.815521,73.230245,86.585276,2.159669,0.989598,1.170071,112.429255,1.519314,5207.429083,1,5,0.028986,2,0.971014,67,0,0,0.714286,1,0.833333,0.832816,1,1,0.783784,0.067696,0.932304,0.216216,0.793115,0.783784,0.776028,0.72036,0.934447,0.79075,0.764549,0.783784,0,0.006,0,0,0,0,119393,117280,14864,95.945946,32.972973,?,?,?,?
pacman,3,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,58,16,0,78.378378,21.621622,0,0.713248,0.112663,0.238622,37.136134,61.292298,159.815521,51.710137,108.105384,2.159669,0.698786,1.460884,116.885265,1.579531,5413.819811,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.783784,0.075703,0.924297,0.216216,0.791881,0.783784,0.779534,0.713446,0.95771,0.833368,0.797203,0.783784,0,0.005,0,0,0,0,119393,117280,14864,98.648649,32.702703,?,?,?,?
pacman,3,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,57,17,0,77.027027,22.972973,0,0.69694,0.110422,0.246237,36.299987,63.058413,160.876664,52.539775,108.336889,2.174009,0.709997,1.464012,116.951549,1.580426,5420.871777,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.77027,0.077308,0.922692,0.22973,0.77973,0.77027,0.769467,0.69915,0.946499,0.818918,0.790445,0.77027,0,0.01,0,0.01,0,10,119393,117280,14864,98.648649,31.351351,?,?,?,?
pacman,4,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,61,13,0,82.432432,17.567568,0,0.768081,0.097846,0.229853,32.221972,58.978318,160.103071,55.174198,104.928873,2.163555,0.745597,1.417958,121.585613,1.643049,5632.661813,1,5,0.028986,2,0.971014,67,0,0,0.714286,1,0.833333,0.832816,0.994203,0.885714,0.824324,0.052463,0.947537,0.175676,0.825205,0.824324,0.819467,0.772927,0.957267,0.83731,0.801687,0.824324,0,0.009,0,0,0,0,119393,117280,14864,97.297297,30.27027,?,?,?,?
pacman,4,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.660058,0.114909,0.2607,37.841285,66.893399,160.103071,80.512623,79.590449,2.163555,1.088008,1.075547,113.29496,1.531013,5248.583136,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.743243,0.08864,0.91136,0.256757,0.739115,0.743243,0.739059,0.655363,0.925843,0.764333,0.764938,0.743243,0.001,0.005,0,0,0,0,119393,117280,14864,94.594595,30.810811,?,?,?,?
pacman,4,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,48,26,0,64.864865,35.135135,0,0.536943,0.155803,0.316586,51.308022,81.233146,160.103071,132.876082,27.22699,2.163555,1.795623,0.367932,94.505679,1.277104,4378.137494,1,5,0.014493,1,0.985507,68,0,0,0.833333,1,0.909091,0.906232,0.998551,0.966667,0.648649,0.110231,0.889769,0.351351,0.640461,0.648649,0.637109,0.533565,0.863544,0.627786,0.650476,0.648649,0,0.008,0,0,0,0,119393,117280,14864,89.189189,32.972973,?,?,?,?
pacman,4,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,60,14,0,81.081081,18.918919,0,0.747132,0.099637,0.241279,32.811897,61.910003,160.103071,65.382789,94.720282,2.163555,0.883551,1.280004,119.986528,1.62144,5558.581496,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.810811,0.067001,0.932999,0.189189,0.808398,0.810811,0.802964,0.750918,0.945689,0.815701,0.807312,0.810811,0.001,0.009,0,0.01,0,10,119393,117280,14864,95.945946,29.459459,?,?,?,?
pacman,4,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,51,23,0,68.918919,31.081081,0,0.589187,0.140982,0.283341,46.427527,72.70289,160.103071,100.15298,59.950091,2.163555,1.353419,0.810136,102.289582,1.382292,4738.740117,1,5,0.028986,2,0.971014,67,0,0,0.714286,1,0.833333,0.832816,1,1,0.689189,0.106217,0.893783,0.310811,0.6878,0.689189,0.681197,0.583042,0.896769,0.731423,0.692861,0.689189,0,0.01,0,0.01,0,10,119393,117280,14864,93.243243,34.054054,?,?,?,?
pacman,4,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.662749,0.124805,0.266135,41.028302,68.154054,160.876664,75.226063,85.650601,2.174009,1.016568,1.157441,111.831851,1.511241,5183.566446,1,5,0.028986,2,0.971014,67,0,0,0.714286,1,0.833333,0.832816,1,1,0.743243,0.080244,0.919756,0.256757,0.74435,0.743243,0.736882,0.662705,0.928687,0.76556,0.734431,0.743243,0,0.008,0,0.01,0,10,119393,117280,14864,95.945946,32.162162,?,?,?,?
pacman,4,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,56,18,0,75.675676,24.324324,0,0.671921,0.117624,0.242607,38.827819,62.418521,158.523474,46.084534,112.438939,2.142209,0.622764,1.519445,112.438939,1.519445,5203.215697,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.756757,0.093363,0.906637,0.243243,0.754901,0.756757,0.746392,0.673384,0.950215,0.812101,0.767044,0.756757,0,0.008,0,0.01,0,10,119393,117280,14864,100,33.783784,?,?,?,?
pacman,4,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,60,14,0,81.081081,18.918919,0,0.74836,0.094244,0.2259,31.110275,58.12016,158.523474,54.41751,104.105964,2.142209,0.735372,1.406837,121.150321,1.637167,5606.342941,1,4,0.014286,1,0.985714,69,0,0,0.8,1,0.888889,0.888015,1,1,0.810811,0.061715,0.938285,0.189189,0.808613,0.810811,0.806007,0.749855,0.959566,0.861498,0.801808,0.810811,0.001,0.008,0,0,0,0,119393,117280,14864,97.297297,30,?,?,?,?
pacman,4,9,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,56,18,0,75.675676,24.324324,0,0.677169,0.122995,0.267247,40.563125,68.686006,158.811023,83.02058,75.790444,2.146095,1.1219,1.024195,109.138666,1.474847,5051.508777,1,4,0.028571,2,0.971429,68,0,0,0.666667,1,0.8,0.804748,0.994643,0.916667,0.756757,0.082031,0.917969,0.243243,0.762102,0.756757,0.748985,0.678091,0.926286,0.767459,0.745932,0.756757,0,0.008,0,0.01,0,10,119393,117280,14864,94.594595,31.891892,?,?,?,?
pacman,4,10,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,56,18,0,75.675676,24.324324,0,0.676856,0.118963,0.249073,39.233392,64.014979,158.811023,46.91079,111.900233,2.146095,0.63393,1.512165,112.130259,1.515274,5189.975362,1,4,0.014286,1,0.985714,69,0,0,0.8,1,0.888889,0.888015,1,1,0.756757,0.079226,0.920774,0.243243,0.753668,0.756757,0.751643,0.678625,0.947762,0.804072,0.753727,0.756757,0.001,0.008,0,0,0,0,119393,117280,14864,100,32.972973,?,?,?,?
pacman,5,1,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,52,22,0,70.27027,29.72973,0,0.602539,0.137394,0.270647,45.354056,69.632858,158.523474,63.383676,95.139797,2.142209,0.856536,1.285673,103.175771,1.394267,4774.554044,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.702703,0.107491,0.892509,0.297297,0.697109,0.702703,0.696947,0.597059,0.920172,0.735191,0.726451,0.702703,0,0.008,0,0.01,0,10,119393,117280,14864,98.648649,35.135135,?,?,?,?
pacman,5,2,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,57,17,0,77.027027,22.972973,0,0.691818,0.10684,0.245003,35.268053,63.03496,158.523474,59.75649,98.766983,2.142209,0.80752,1.334689,115.417617,1.559698,5341.056745,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.77027,0.079789,0.920211,0.22973,0.764242,0.77027,0.761222,0.694493,0.946298,0.800298,0.773622,0.77027,0,0.008,0,0.01,0,10,119393,117280,14864,97.297297,30.810811,?,?,?,?
pacman,5,3,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,55,19,0,74.324324,25.675676,0,0.661857,0.114021,0.256944,37.603739,66.037944,158.811023,71.304137,87.506887,2.146095,0.963569,1.182525,112.819136,1.524583,5221.860153,1,4,0.042857,3,0.957143,67,0,0,0.571429,1,0.727273,0.739553,0.989286,0.767857,0.743243,0.078968,0.921032,0.256757,0.758825,0.743243,0.741106,0.667887,0.934768,0.794452,0.7238,0.743243,0,0.008,0,0,0,0,119393,117280,14864,95.945946,30.810811,?,?,?,?
pacman,5,4,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,54,20,0,72.972973,27.027027,0,0.642685,0.124798,0.26388,41.157704,67.820637,158.811023,67.255737,91.555286,2.146095,0.908861,1.237234,108.200767,1.462173,5008.097874,1,4,0,0,1,70,0,0,1,1,1,1,1,1,0.72973,0.0828,0.9172,0.27027,0.731075,0.72973,0.728151,0.647463,0.930287,0.755636,0.746662,0.72973,0,0.008,0,0.01,0,10,119449,117280,14864,97.297297,32.972973,?,?,?,?
pacman,5,5,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,53,21,0,71.621622,28.378378,0,0.622541,0.1248,0.271691,41.098567,69.71351,160.103071,84.436045,75.667026,2.163555,1.141028,1.022527,109.371538,1.477994,5066.823869,1,5,0.014493,1,0.985507,68,0,0,0.833333,1,0.909091,0.906232,1,1,0.716216,0.096476,0.903524,0.283784,0.711192,0.716216,0.705341,0.621594,0.91784,0.746657,0.711621,0.716216,0,0.008,0,0.01,0,10,119425,117280,14864,94.594595,31.351351,?,?,?,?
pacman,5,6,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,56,18,0,75.675676,24.324324,0,0.677326,0.123001,0.261597,40.505893,67.123515,160.103071,75.053856,85.049215,2.163555,1.014241,1.149314,110.663038,1.495446,5126.654849,1,5,0.028986,2,0.971014,67,0,0,0.714286,1,0.833333,0.832816,1,1,0.756757,0.081509,0.918491,0.243243,0.783498,0.756757,0.746895,0.687664,0.935303,0.805516,0.740035,0.756757,0,0.007,0,0,0,0,119449,117280,14864,95.945946,32.702703,?,?,?,?
pacman,5,7,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,52,22,0,70.27027,29.72973,0,0.601859,0.121205,0.255961,39.914368,65.677359,160.103071,49.151202,110.951869,2.163555,0.664205,1.49935,111.008107,1.50011,5142.640724,1,5,0.014493,1,0.985507,68,0,0,0.833333,1,0.909091,0.906232,1,1,0.702703,0.10492,0.89508,0.297297,0.696886,0.702703,0.684425,0.601887,0.941969,0.798121,0.691715,0.702703,0.001,0.006,0,0,0,0,119425,117280,14864,100,32.972973,?,?,?,?
pacman,5,8,weka.classifiers.lazy.IBk,'-K 3 -W 0 -A \"weka.core.neighboursearch.LinearNNSearch -A \\\"weka.core.EuclideanDistance -R first-last\\\"\"',-3080186098777067172,20190227.2036,666,74,51,23,0,68.918919,31.081081,0,0.582945,0.129292,0.267421,42.577621,68.617876,160.103071,61.285218,98.817853,2.163555,0.828179,1.335376,107.657385,1.45483,4987.412828,1,5,0,0,1,69,0,0,1,1,1,1,1,1,0.689189,0.114586,0.885414,0.310811,0.677067,0.689189,0.674911,0.577561,0.924987,0.771524,0.689442,0.689189,0,0.007,0,0,0,0,119393,117280,14864,98.648649,33.513514,?,?,?,?
