@relation 'pacman-weka.filters.unsupervised.attribute.Remove-R32,35-weka.filters.unsupervised.attribute.Remove-R3,5-12,17-18-weka.filters.unsupervised.attribute.Remove-R1-2-weka.filters.unsupervised.attribute.Remove-R9-weka.filters.unsupervised.attribute.Remove-R2-5'

@attribute num_fantasmas_vivos numeric
@attribute dist_columna_fantasma_cercano numeric
@attribute dist_fila_fantasma_cercano numeric
@attribute dist_fantasma_cercano numeric
@attribute dist_comida numeric
@attribute isWallNorth {False,True}
@attribute isWallSouth {False,True}
@attribute isWallEast {False,True}
@attribute isWallWest {False,True}
@attribute distNorth numeric
@attribute distSouth numeric
@attribute distEast numeric
@attribute distWest numeric
@attribute dir_anterior_pacman {Stop,East,West,North,South}
@attribute dir_pacman {Stop,East,West,North,South}

@data
1,10,2,12,-1,False,False,False,False,2,2,6,3,North,East
1,9,2,11,-1,False,False,False,False,2,2,5,4,East,East
1,8,2,10,-1,False,False,False,False,8,2,4,5,East,East
1,7,2,9,-1,False,False,False,False,4,2,3,6,East,East
1,6,2,8,-1,False,False,False,False,4,2,2,7,East,East
1,5,2,7,-1,False,False,True,False,8,2,1,8,East,East
1,5,1,6,-1,False,False,True,False,7,3,1,20,East,North
1,5,0,5,-1,False,False,True,False,6,4,1,4,North,North
1,5,1,6,-1,False,False,True,False,5,5,1,9,North,North
1,5,2,7,-1,False,False,False,True,4,6,6,1,North,North
1,4,2,6,-1,False,True,False,False,4,1,5,2,North,East
1,3,2,5,-1,False,False,False,False,2,3,4,3,East,East
1,2,2,4,-1,False,False,False,False,2,3,3,4,East,East
1,1,2,3,-1,False,False,False,False,2,2,2,5,East,East
1,0,2,2,-1,False,False,True,False,4,3,1,6,East,East
4,0,6,6,1,True,True,False,False,1,1,5,4,Stop,Stop
4,0,6,6,1,True,True,False,False,1,1,5,4,Stop,Stop
4,0,6,6,1,True,True,False,False,1,1,6,3,Stop,West
4,1,6,7,1,True,True,False,False,1,1,7,2,West,West
4,2,6,8,1,False,True,False,True,11,1,8,1,West,West
4,2,5,7,1,False,False,True,True,10,2,1,1,West,North
4,2,4,6,1,False,False,False,False,9,3,8,4,North,North
4,2,3,5,1,False,False,True,False,8,4,1,4,North,North
4,2,2,4,1,False,False,True,False,7,5,1,4,North,North
4,2,1,3,1,False,False,True,False,6,6,1,4,North,North
4,2,0,2,1,False,False,False,False,5,7,6,6,North,North
4,1,0,1,2,True,True,False,False,1,1,5,7,North,East
3,1,0,1,3,True,True,False,False,1,1,4,8,East,East
2,1,0,1,2,False,True,False,False,5,1,3,9,East,East
4,2,13,15,1,True,False,True,False,1,8,1,2,Stop,Stop
4,2,13,15,1,True,False,True,False,1,8,1,2,Stop,Stop
4,2,12,14,1,False,False,False,False,2,7,2,5,Stop,South
4,2,11,13,1,False,False,False,False,3,6,5,2,South,South
4,2,10,12,1,False,False,True,False,4,5,1,2,South,South
4,2,9,11,1,False,False,False,False,5,4,2,9,South,South
4,2,8,10,1,False,False,True,False,6,3,1,2,South,South
4,2,7,9,1,False,False,False,False,7,2,9,9,South,South
4,3,7,10,1,True,True,False,False,1,1,8,10,South,East
4,4,7,11,1,False,False,False,False,2,9,7,11,East,East
4,5,5,10,1,False,False,False,False,7,9,6,12,East,East
4,4,5,9,1,True,True,False,False,1,1,5,13,East,East
4,3,5,8,1,False,False,False,False,4,9,4,14,East,East
4,2,5,7,1,False,False,False,False,5,9,3,15,East,East
4,1,5,6,1,True,True,False,False,1,1,2,16,East,East
4,0,5,5,1,False,False,True,False,5,9,1,17,East,East
4,0,4,4,1,False,False,True,True,6,8,1,1,East,South
4,0,3,3,1,False,False,True,False,7,7,1,8,South,South
4,0,2,2,1,False,False,True,True,8,6,1,1,South,South
4,0,1,1,1,False,False,True,False,9,5,1,20,South,South
3,10,2,12,1,False,False,True,False,10,4,1,9,South,South
3,10,1,11,1,False,False,True,True,11,3,1,1,South,South
3,10,0,10,1,False,False,True,False,12,2,1,9,South,South
3,9,0,9,1,True,False,False,False,1,2,2,8,South,West
3,8,0,8,1,False,False,False,False,12,2,3,7,West,West
3,7,0,7,1,False,False,False,False,11,2,4,6,West,West
3,6,0,6,1,True,False,False,False,1,2,5,5,West,West
3,5,0,5,1,False,False,False,False,14,2,6,4,West,West
3,4,0,4,1,False,False,False,False,9,2,7,3,West,West
3,3,0,3,1,True,False,False,False,1,2,8,2,West,West
3,2,0,2,1,False,False,False,True,5,2,9,1,West,West
3,2,1,3,1,False,True,False,False,6,1,9,20,West,South
3,1,1,2,1,True,True,False,False,1,1,10,19,South,West
3,0,1,1,1,False,True,False,False,2,1,11,18,West,West
2,16,2,18,1,True,False,True,False,1,2,1,18,West,North
2,15,2,17,1,False,False,False,False,14,2,2,17,North,West
2,14,2,16,1,False,False,False,False,14,2,3,16,West,West
2,13,2,15,1,True,False,False,False,1,2,4,15,West,West
2,12,2,14,1,False,False,False,False,14,2,5,14,West,West
2,11,2,13,1,False,False,False,False,14,2,6,13,West,West
2,10,2,12,1,True,False,False,False,1,2,7,12,West,West
2,9,2,11,1,False,False,False,False,7,2,8,11,West,West
2,8,2,10,1,False,False,False,False,14,2,9,10,West,West
2,7,2,9,1,True,False,False,False,1,2,10,9,West,West
2,6,2,8,1,False,False,False,False,3,2,11,8,West,West
2,5,2,7,1,False,False,False,False,9,2,12,7,West,West
2,4,2,6,1,True,False,False,False,1,2,13,6,West,West
2,3,2,5,1,False,False,False,False,9,2,14,5,West,West
2,2,2,4,1,False,False,False,False,9,2,15,4,West,West
2,1,2,3,1,True,False,False,False,1,2,16,3,West,West
2,0,2,2,1,False,False,False,False,14,2,17,2,West,West
2,0,1,1,1,False,False,True,False,13,3,1,2,West,North
1,1,2,3,1,False,False,True,False,12,4,1,2,North,North
1,1,1,2,1,False,False,True,False,11,5,1,2,North,North
4,1,2,3,7,False,False,False,False,5,8,7,7,Stop,Stop
4,1,0,1,8,False,False,False,False,4,9,7,12,Stop,North
4,1,0,1,7,False,False,False,False,4,9,6,13,North,East
3,1,5,6,6,False,False,False,False,4,9,5,14,East,East
3,1,4,5,5,False,False,False,False,5,8,5,9,East,South
3,0,3,3,4,False,False,False,False,6,7,5,14,South,South
3,0,3,3,5,False,False,False,False,7,6,5,14,South,South
3,0,3,3,6,False,False,False,False,8,5,5,14,South,South
3,1,2,3,7,False,False,False,False,9,4,5,14,South,South
3,1,2,3,8,False,False,False,False,10,3,5,14,South,South
3,1,1,2,9,False,False,False,False,11,2,5,14,South,South
3,1,1,2,8,False,False,False,False,11,2,4,15,South,East
3,1,1,2,9,False,True,False,False,12,1,4,15,East,South
3,0,2,2,8,False,True,False,False,12,1,3,16,South,East
3,0,2,2,7,False,False,False,False,11,2,3,16,East,North
3,0,2,2,6,False,False,False,False,10,3,3,16,North,North
3,0,2,2,5,False,False,False,False,9,4,3,16,North,North
3,1,1,2,4,False,False,False,False,8,5,3,16,North,North
3,1,1,2,3,False,False,False,False,7,6,3,16,North,North
3,0,1,1,4,False,False,False,False,7,6,4,15,North,West
2,7,2,9,3,False,False,False,False,6,7,4,15,West,North
2,7,3,10,4,False,False,False,False,5,8,4,10,North,North
2,6,2,8,5,False,False,False,False,5,8,5,9,North,West
2,5,3,8,6,False,False,False,False,5,8,6,8,West,West
2,3,3,6,7,False,False,False,False,5,8,7,7,West,West
2,2,2,4,8,False,False,False,False,5,8,8,6,West,West
2,1,2,3,9,False,False,False,False,5,8,9,5,West,West
2,0,1,1,8,False,False,False,False,6,7,9,10,West,South
1,6,5,11,9,False,False,False,False,7,6,9,10,South,South
1,5,5,10,10,False,False,False,False,7,6,10,9,South,West
1,4,4,8,11,False,False,False,False,7,6,11,8,West,West
1,2,4,6,12,False,False,False,False,7,6,12,7,West,West
1,1,5,6,13,False,False,False,False,7,6,13,6,West,West
1,2,4,6,14,False,False,False,False,8,5,13,6,West,South
1,2,3,5,15,False,False,False,False,9,4,13,6,South,South
1,1,2,3,16,False,False,False,False,10,3,13,6,South,South
4,6,2,8,-1,True,False,False,True,1,4,18,1,Stop,Stop
4,6,1,7,-1,True,False,False,True,1,4,18,1,Stop,Stop
4,5,1,6,-1,True,True,False,False,1,1,17,2,Stop,East
4,4,1,5,-1,True,True,False,False,1,1,16,3,East,East
4,3,0,3,-1,True,True,False,False,1,1,15,4,East,East
4,2,1,3,-1,True,True,False,False,1,1,14,5,East,East
4,1,2,3,-1,True,True,False,False,1,1,13,6,East,East
4,1,2,3,-1,True,False,False,False,1,4,12,7,East,East
4,1,1,2,-1,False,False,True,True,2,3,1,1,East,South
4,2,0,2,-1,False,False,False,False,3,2,12,7,South,South
4,1,1,2,-1,True,False,False,False,1,2,13,6,South,West
4,0,1,1,-1,True,False,False,False,1,2,14,5,West,West
3,2,3,5,-1,False,True,False,False,2,1,14,5,West,South
3,1,2,3,-1,False,True,False,False,2,1,13,6,South,East
3,1,2,3,-1,True,False,False,False,1,2,13,6,East,North
3,1,2,3,-1,True,False,False,False,1,2,13,6,North,North
3,1,2,3,-1,False,False,False,False,3,2,12,7,North,East
3,1,1,2,-1,False,False,True,True,2,3,1,1,East,North
3,1,0,1,-1,True,False,False,False,1,4,12,7,North,North
2,3,2,5,-1,True,True,False,False,1,1,13,6,North,West
2,1,2,3,-1,True,False,False,False,1,4,12,7,West,East
2,1,2,3,-1,False,False,True,True,2,3,1,1,East,South
2,1,0,1,-1,False,False,False,False,3,2,12,7,South,South
2,1,0,1,-1,False,True,False,False,4,1,12,7,South,South
1,9,1,10,-1,False,True,False,False,2,1,11,8,South,East
1,8,0,8,-1,False,True,False,False,2,1,10,9,East,East
1,6,0,6,-1,False,True,False,False,2,1,9,10,East,East
1,4,0,4,-1,False,True,False,False,2,1,8,11,East,East
1,3,0,3,-1,False,True,False,False,2,1,7,12,East,East
1,2,0,2,-1,False,True,False,False,2,1,6,13,East,East
4,3,9,12,-1,True,False,False,True,1,16,25,1,Stop,Stop
4,3,8,11,-1,True,False,False,True,1,16,25,1,Stop,Stop
4,4,7,11,-1,False,False,True,True,2,15,1,1,Stop,South
4,3,6,9,-1,False,False,False,True,3,14,17,1,South,South
4,3,5,8,-1,False,False,False,True,4,13,17,1,South,South
4,3,4,7,-1,False,False,False,True,5,12,10,1,South,South
4,2,3,5,-1,False,False,True,True,6,11,1,1,South,South
4,3,2,5,-1,False,False,False,True,7,10,20,1,South,South
4,3,1,4,-1,False,False,True,True,8,9,1,1,South,South
4,2,0,2,-1,False,False,True,True,9,8,1,1,South,South
4,2,1,3,-1,False,False,True,True,10,7,1,1,South,South
4,2,2,4,-1,False,False,True,True,11,6,1,1,South,South
4,2,3,5,-1,False,False,True,True,12,5,1,1,South,South
4,3,4,7,-1,False,False,False,True,13,4,11,1,South,South
4,3,4,7,-1,True,False,False,False,1,4,10,2,South,East
4,1,4,5,-1,False,False,False,False,5,4,9,3,East,East
4,1,4,5,-1,False,False,False,False,5,4,8,4,East,East
4,0,3,3,-1,False,False,False,False,5,4,7,5,East,East
4,1,2,3,-1,False,False,False,False,4,5,2,3,East,North
4,2,1,3,-1,False,False,False,False,3,6,2,3,North,North
4,1,0,1,-1,False,False,False,False,2,7,2,3,North,North
3,4,4,8,-1,False,False,False,False,2,7,3,2,North,West
3,4,3,7,-1,False,False,False,False,3,6,3,2,West,South
3,4,3,7,-1,False,False,False,False,4,5,3,2,South,South
3,4,2,6,-1,False,False,False,False,5,4,8,4,South,South
3,3,3,6,-1,False,False,False,False,5,4,7,5,South,East
3,2,2,4,-1,False,True,False,False,5,1,6,6,East,East
